Altium Designer Pick and Place Locations
W:\GreenfieldTechSolutions\Projects\Ontwerpen\Project_234_BAS\RenderedFiles\BAS_MainHub_0.2\P234_BAS_MainHub_0.2_Pick Place\P234_0.2_MainHub_PickAndPlace_Metric.txt

========================================================================================================================
File Design Information:

Date:       30/05/22
Time:       21:23
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Layer       Center-X(mm) Center-Y(mm) Rotation Description                                                                                        ManfactPart          RefVal       
R28        TopLayer    308.0000     119.0000     270      "2.2KO 1% 62.5mW 100PPM"                                                                           CRGCQ0402F2K2        2.2KO        
R27        TopLayer    310.2500     116.5000     0        "20KO 1% 100mW 100PPM"                                                                             ERJ-S02F2002X        20KO         
R26        TopLayer    308.5000     114.5000     0        "12KO 1% 62.5mW"                                                                                   RC0402FR-1312KL      12KO         
R25        TopLayer    315.0000     119.0000     270      "100O 1% 100mW"                                                                                    WR06X1000FTL         100O         
L6         TopLayer    315.5000     113.5000     270      "3.3µH 5A 30% 21mO"                                                                                SRN6045TA-3R3Y       "3.3µH 5A"   
IC14       TopLayer    311.5000     121.0000     180      "3.8V TO 40V INPUT, 5A LOW IQ SYNCHRONOUS BUCK WITH PROGRAMMABLE SOFT-START TIME"                  AP64501SP-13         AP64501SP-13 
C168       TopLayer    308.5000     116.0000     270      "1.2nF 50V 10% X7R"                                                                                GCM155R71H122KA37D   1.2nF        
C167       TopLayer    310.2500     115.5000     180      "1nF 50V 1% C0G"                                                                                   GRT1555C1H102FA02D   1nF          
C166       TopLayer    308.0000     123.0000     270      "100nF 50V 10% X7R"                                                                                CGA2B3X7R1H104K050BB 100nF        
C165       TopLayer    310.6500     126.5000     90       "10µF 35V 10% X5R"                                                                                 C2012X5R1V106K125AC  10µF         
C164       TopLayer    312.6500     126.5000     90       "10µF 35V 10% X5R"                                                                                 C2012X5R1V106K125AC  10µF         
C163       TopLayer    314.6500     126.5000     90       "10µF 35V 10% X5R"                                                                                 C2012X5R1V106K125AC  10µF         
C162       TopLayer    316.6500     126.5000     90       "10µF 35V 10% X5R"                                                                                 C2012X5R1V106K125AC  10µF         
C161       TopLayer    318.6500     126.5000     90       "10µF 35V 10% X5R"                                                                                 C2012X5R1V106K125AC  10µF         
C160       TopLayer    320.6500     126.5000     90       "10µF 35V 10% X5R"                                                                                 C2012X5R1V106K125AC  10µF         
C159       TopLayer    308.5000     113.5000     180      "1nF 50V 1% C0G"                                                                                   GRT1555C1H102FA02D   1nF          
C158       TopLayer    305.5000     110.5000     270      "10µF 16V 10% X5R"                                                                                 GRM21BR61C106KE15L   10µF         
