Altium Designer Pick and Place Locations
W:\GreenfieldTechSolutions\Projects\Ontwerpen\Project_234_BAS\RenderedFiles\BAS_Tower1_0.3\P234_BAS_Tower1_0.3_Pick Place\P234_0.3_Tower1_PickAndPlace_Imperial.csv

========================================================================================================================
File Design Information:

Date:       11/05/22
Time:       17:03
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Layer","Center-X(mil)","Center-Y(mil)","Rotation","Description","ManfactPart","RefVal"
"IC6","BottomLayer","8818.898","2796.260","90","3.3 V, 2 differential channel, 2 : 1 multiplexer/demultiplexer switch","CBTL02043A","CBTL02043A"
"C45","TopLayer","8661.417","2766.732","270","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C44","BottomLayer","8769.685","2952.756","180","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C43","BottomLayer","8848.425","2637.795","0","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"R209","TopLayer","3740.157","3688.976","0","10KO 1% 62.5mW","WR04X1002FTL","10KO"
"R212","TopLayer","4409.449","3688.976","0","10KO 1% 62.5mW","WR04X1002FTL","10KO"
"IC203","TopLayer","4606.299","3661.417","270","USB Type-C and USB PD Controller with Integrated Power Switches Optimized for Power Applications","TPS25750D","TPS25750D"
"IC202","TopLayer","3937.008","3661.417","270","USB Type-C and USB PD Controller with Integrated Power Switches Optimized for Power Applications","TPS25750D","TPS25750D"
"IC301","BottomLayer","4507.874","2952.756","270","3.3 V, 2 differential channel, 2 : 1 multiplexer/demultiplexer switch","CBTL02043A","CBTL02043A"
"IC302","BottomLayer","5177.164","2952.756","270","3.3 V, 2 differential channel, 2 : 1 multiplexer/demultiplexer switch","CBTL02043A","CBTL02043A"
"C257","BottomLayer","4114.173","3591.535","90","10nF 50V 10% X7R","C0805C103K5RAC","10nF"
"C252","BottomLayer","4559.055","3868.110","180","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C260","TopLayer","3807.087","3346.457","180","22µF 63V 20% X7R","KRM55WR71J226MH01K","22µF"
"C254","BottomLayer","4330.709","3616.142","90","4.7µF 100V 10% X5R","HMK325BJ475KM-PE","4.7µF"
"C258","BottomLayer","4055.118","3591.535","90","10nF 50V 10% X7R","C0805C103K5RAC","10nF"
"C240","TopLayer","4082.677","3795.276","90","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C253","TopLayer","4814.961","3740.157","90","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C263","TopLayer","4476.378","3346.457","180","22µF 63V 20% X7R","KRM55WR71J226MH01K","22µF"
"C249","BottomLayer","4865.158","3459.646","45","10nF 50V 10% X7R","C0805C103K5RAC","10nF"
"C243","TopLayer","4145.669","3740.157","90","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C242","BottomLayer","3889.764","3868.110","180","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C255","BottomLayer","4232.283","3591.535","90","10nF 50V 10% X7R","C0805C103K5RAC","10nF"
"C250","TopLayer","4751.968","3795.276","90","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C302","BottomLayer","4478.346","3110.236","180","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C245","TopLayer","4824.803","3499.016","45","10nF 50V 10% X7R","C0805C103K5RAC","10nF"
"C251","TopLayer","4666.339","3856.299","90","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C306","BottomLayer","5322.835","2992.126","90","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C304","BottomLayer","5147.638","3110.236","180","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C305","BottomLayer","5147.638","2795.276","180","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C301","BottomLayer","4653.543","2992.126","90","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C303","BottomLayer","4478.346","2795.276","180","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C247","BottomLayer","4983.268","3341.535","45","10nF 50V 10% X7R","C0805C103K5RAC","10nF"
"C259","BottomLayer","4065.945","2892.716","270","10µF 63V 10% X7R","CL32B106KMVNNWE","10µF"
"C262","BottomLayer","4735.236","2892.716","270","10µF 63V 10% X7R","CL32B106KMVNNWE","10µF"
"C248","BottomLayer","4924.213","3400.591","45","10nF 50V 10% X7R","C0805C103K5RAC","10nF"
"C244","TopLayer","4910.433","3447.835","45","4.7µF 100V 10% X5R","HMK325BJ475KM-PE","4.7µF"
"C256","BottomLayer","4173.228","3591.535","90","10nF 50V 10% X7R","C0805C103K5RAC","10nF"
"C241","TopLayer","3997.047","3856.299","90","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"R20","BottomLayer","9204.724","3681.102","90","150KO 1% 62.5mW 100PPM","SFR01MZPF1503","150KO"
"R19","BottomLayer","9175.197","3681.102","270","68KO 1% 62.5mW 100PPM","CRG0402F68K","68KO"
"R18","BottomLayer","9263.780","3681.102","90","150KO 1% 62.5mW 100PPM","SFR01MZPF1503","150KO"
"R17","BottomLayer","9234.252","3681.102","270","68KO 1% 62.5mW 100PPM","CRG0402F68K","68KO"
"R16","BottomLayer","9145.669","3681.102","90","200KO 1% 62.5mW 100PPM","CRG0402F200K","200KO"
"R15","TopLayer","9118.110","3374.016","0","5.1KO 1% 62.5mW 100PPM","CRCW04025K10FKEDC","5.1kO"
"R14","TopLayer","9059.055","3500.000","135","5.1KO 1% 62.5mW 100PPM","CRCW04025K10FKEDC","5.1kO"
"H5","TopLayer","9862.205","3681.102","0","Mounting Hole M3","","Hole M3"
"R13","TopLayer","9071.850","3734.252","270","1KO 5% 62.5mW 100PPM","RC0402JR-131KL","1KO"
"R12","TopLayer","9040.354","3734.252","270","10KO 1% 62.5mW","WR04X1002FTL","10KO"
"R214","BottomLayer","6500.000","3040.000","0","10KO 1% 62.5mW","WR04X1002FTL","10KO"
"R213","TopLayer","5937.008","3236.220","0","2.2KO 1% 62.5mW 100PPM","CRGCQ0402F2K2","2.2KO"
"PP208","BottomLayer","7200.000","2700.000","270","Programmingpoint","","PP"
"PP207","BottomLayer","7100.000","2700.000","270","Programmingpoint","","PP"
"PP206","BottomLayer","7200.000","2900.000","270","Programmingpoint","","PP"
"PP205","BottomLayer","7200.000","2800.000","270","Programmingpoint","","PP"
"PP204","BottomLayer","7100.000","2900.000","270","Programmingpoint","","PP"
"PP203","BottomLayer","7100.000","3000.000","270","Programmingpoint","","PP"
"PP202","BottomLayer","7200.000","3000.000","270","Programmingpoint","","PP"
"PP201","BottomLayer","7100.000","2800.000","270","Programmingpoint","","PP"
"IC204","BottomLayer","6547.244","2829.724","180","8-Kbit serial SPI bus EEPROM with high-speed clock","M95080-WMN6TP","M95080"
"C246","BottomLayer","6684.055","2926.181","270","100nF 16V 10% X7R","GCM155R71C104KA55D","100nF"
"D4","BottomLayer","8661.417","2796.260","90","USB 3 TVS Diode","PUSB3FA2Z","TVS"
"D3","BottomLayer","9242.126","2834.646","0","USB 2 TVS Diode","TPD2EUSB30DRTR","TVS"
"D2","TopLayer","8720.472","3226.378","90","USB 3 TVS Diode","PUSB3FA2Z","TVS"
"D1","TopLayer","9654.528","2952.756","270","USB 2 TVS Diode","TPD2EUSB30DRTR","TVS"
"C202","BottomLayer","5798.228","2451.772","315","47µF 16V 20% X5R","EMK325ABJ476MM8P","47µF"
"C201","BottomLayer","6145.669","3357.284","90","47µF 16V 20% X5R","EMK325ABJ476MM8P","47µF"
"C104","TopLayer","5984.252","3838.583","90","47µF 16V 20% X5R","EMK325ABJ476MM8P","47µF"
