Altium Designer Pick and Place Locations
W:\GreenfieldTechSolutions\Projects\Ontwerpen\Project_234_BAS\RenderedFiles\BAS_Tower1_0.3\P234_BAS_Tower1_0.3_Pick Place\P234_0.3_Tower1_PickAndPlace_Metric.csv

========================================================================================================================
File Design Information:

Date:       11/05/22
Time:       17:03
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Description","ManfactPart","RefVal"
"IC6","BottomLayer","224.0000","71.0250","90","3.3 V, 2 differential channel, 2 : 1 multiplexer/demultiplexer switch","CBTL02043A","CBTL02043A"
"C45","TopLayer","220.0000","70.2750","270","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C44","BottomLayer","222.7500","75.0000","180","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C43","BottomLayer","224.7500","67.0000","0","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"R209","TopLayer","95.0000","93.7000","0","10KO 1% 62.5mW","WR04X1002FTL","10KO"
"R212","TopLayer","112.0000","93.7000","0","10KO 1% 62.5mW","WR04X1002FTL","10KO"
"IC203","TopLayer","117.0000","93.0000","270","USB Type-C and USB PD Controller with Integrated Power Switches Optimized for Power Applications","TPS25750D","TPS25750D"
"IC202","TopLayer","100.0000","93.0000","270","USB Type-C and USB PD Controller with Integrated Power Switches Optimized for Power Applications","TPS25750D","TPS25750D"
"IC301","BottomLayer","114.5000","75.0000","270","3.3 V, 2 differential channel, 2 : 1 multiplexer/demultiplexer switch","CBTL02043A","CBTL02043A"
"IC302","BottomLayer","131.5000","75.0000","270","3.3 V, 2 differential channel, 2 : 1 multiplexer/demultiplexer switch","CBTL02043A","CBTL02043A"
"C257","BottomLayer","104.5000","91.2250","90","10nF 50V 10% X7R","C0805C103K5RAC","10nF"
"C252","BottomLayer","115.8000","98.2500","180","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C260","TopLayer","96.7000","85.0000","180","22µF 63V 20% X7R","KRM55WR71J226MH01K","22µF"
"C254","BottomLayer","110.0000","91.8500","90","4.7µF 100V 10% X5R","HMK325BJ475KM-PE","4.7µF"
"C258","BottomLayer","103.0000","91.2250","90","10nF 50V 10% X7R","C0805C103K5RAC","10nF"
"C240","TopLayer","103.7000","96.4000","90","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C253","TopLayer","122.3000","95.0000","90","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C263","TopLayer","113.7000","85.0000","180","22µF 63V 20% X7R","KRM55WR71J226MH01K","22µF"
"C249","BottomLayer","123.5750","87.8750","45","10nF 50V 10% X7R","C0805C103K5RAC","10nF"
"C243","TopLayer","105.3000","95.0000","90","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C242","BottomLayer","98.8000","98.2500","180","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C255","BottomLayer","107.5000","91.2250","90","10nF 50V 10% X7R","C0805C103K5RAC","10nF"
"C250","TopLayer","120.7000","96.4000","90","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C302","BottomLayer","113.7500","79.0000","180","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C245","TopLayer","122.5500","88.8750","45","10nF 50V 10% X7R","C0805C103K5RAC","10nF"
"C251","TopLayer","118.5250","97.9500","90","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C306","BottomLayer","135.2000","76.0000","90","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C304","BottomLayer","130.7500","79.0000","180","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C305","BottomLayer","130.7500","71.0000","180","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C301","BottomLayer","118.2000","76.0000","90","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C303","BottomLayer","113.7500","71.0000","180","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C247","BottomLayer","126.5750","84.8750","45","10nF 50V 10% X7R","C0805C103K5RAC","10nF"
"C259","BottomLayer","103.2750","73.4750","270","10µF 63V 10% X7R","CL32B106KMVNNWE","10µF"
"C262","BottomLayer","120.2750","73.4750","270","10µF 63V 10% X7R","CL32B106KMVNNWE","10µF"
"C248","BottomLayer","125.0750","86.3750","45","10nF 50V 10% X7R","C0805C103K5RAC","10nF"
"C244","TopLayer","124.7250","87.5750","45","4.7µF 100V 10% X5R","HMK325BJ475KM-PE","4.7µF"
"C256","BottomLayer","106.0000","91.2250","90","10nF 50V 10% X7R","C0805C103K5RAC","10nF"
"C241","TopLayer","101.5250","97.9500","90","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"R20","BottomLayer","233.8000","93.5000","90","150KO 1% 62.5mW 100PPM","SFR01MZPF1503","150KO"
"R19","BottomLayer","233.0500","93.5000","270","68KO 1% 62.5mW 100PPM","CRG0402F68K","68KO"
"R18","BottomLayer","235.3000","93.5000","90","150KO 1% 62.5mW 100PPM","SFR01MZPF1503","150KO"
"R17","BottomLayer","234.5500","93.5000","270","68KO 1% 62.5mW 100PPM","CRG0402F68K","68KO"
"R16","BottomLayer","232.3000","93.5000","90","200KO 1% 62.5mW 100PPM","CRG0402F200K","200KO"
"R15","TopLayer","231.6000","85.7000","0","5.1KO 1% 62.5mW 100PPM","CRCW04025K10FKEDC","5.1kO"
"R14","TopLayer","230.1000","88.9000","135","5.1KO 1% 62.5mW 100PPM","CRCW04025K10FKEDC","5.1kO"
"H5","TopLayer","250.5000","93.5000","0","Mounting Hole M3","","Hole M3"
"R13","TopLayer","230.4250","94.8500","270","1KO 5% 62.5mW 100PPM","RC0402JR-131KL","1KO"
"R12","TopLayer","229.6250","94.8500","270","10KO 1% 62.5mW","WR04X1002FTL","10KO"
"R214","BottomLayer","165.1000","77.2160","0","10KO 1% 62.5mW","WR04X1002FTL","10KO"
"R213","TopLayer","150.8000","82.2000","0","2.2KO 1% 62.5mW 100PPM","CRGCQ0402F2K2","2.2KO"
"PP208","BottomLayer","182.8800","68.5800","270","Programmingpoint","","PP"
"PP207","BottomLayer","180.3400","68.5800","270","Programmingpoint","","PP"
"PP206","BottomLayer","182.8800","73.6600","270","Programmingpoint","","PP"
"PP205","BottomLayer","182.8800","71.1200","270","Programmingpoint","","PP"
"PP204","BottomLayer","180.3400","73.6600","270","Programmingpoint","","PP"
"PP203","BottomLayer","180.3400","76.2000","270","Programmingpoint","","PP"
"PP202","BottomLayer","182.8800","76.2000","270","Programmingpoint","","PP"
"PP201","BottomLayer","180.3400","71.1200","270","Programmingpoint","","PP"
"IC204","BottomLayer","166.3000","71.8750","180","8-Kbit serial SPI bus EEPROM with high-speed clock","M95080-WMN6TP","M95080"
"C246","BottomLayer","169.7750","74.3250","270","100nF 16V 10% X7R","GCM155R71C104KA55D","100nF"
"D4","BottomLayer","220.0000","71.0250","90","USB 3 TVS Diode","PUSB3FA2Z","TVS"
"D3","BottomLayer","234.7500","72.0000","0","USB 2 TVS Diode","TPD2EUSB30DRTR","TVS"
"D2","TopLayer","221.5000","81.9500","90","USB 3 TVS Diode","PUSB3FA2Z","TVS"
"D1","TopLayer","245.2250","75.0000","270","USB 2 TVS Diode","TPD2EUSB30DRTR","TVS"
"C202","BottomLayer","147.2750","62.2750","315","47µF 16V 20% X5R","EMK325ABJ476MM8P","47µF"
"C201","BottomLayer","156.1000","85.2750","90","47µF 16V 20% X5R","EMK325ABJ476MM8P","47µF"
"C104","TopLayer","152.0000","97.5000","90","47µF 16V 20% X5R","EMK325ABJ476MM8P","47µF"
"C103","TopLayer","149.0000","97.5000","90","47µF 16V 20% X5R","EMK325ABJ476MM8P","47µF"
"D304","TopLayer","135.0000","75.0000","270","USB 3 TVS Diode","PUSB3FA2Z","TVS"
"D303","TopLayer","118.0000","75.0000","270","USB 3 TVS Diode","PUSB3FA2Z","TVS"
"D302","TopLayer","128.0000","75.0000","90","USB 2 TVS Diode","TPD2EUSB30DRTR","TVS"
"D301","TopLayer","111.0000","75.0000","90","USB 2 TVS Diode","TPD2EUSB30DRTR","TVS"
"TR2","TopLayer","226.6000","92.2000","180","30V, N-channel Trench MOSFET","FDMS7660","FDMS7660"
"TR1","TopLayer","221.0000","92.2000","180","30V, N-channel Trench MOSFET","FDMS7660","FDMS7660"
"COG1","BottomLayer","234.7500","74.7500","0","USB C connector Plug","USB4151-GF-C","USB4151"
"Fid8","BottomLayer","61.0000","99.0000","180","Fiducial Sqaure 1mm","","Fiducial"
"Fid7","BottomLayer","253.0000","54.0000","180","Fiducial Sqaure 1mm","","Fiducial"
"Fid6","BottomLayer","202.0000","54.0000","180","Fiducial Round 1mm","","Fiducial"
"Fid5","BottomLayer","216.0000","96.0000","180","Fiducial Round 1mm","","Fiducial"
"C230","TopLayer","155.2000","69.9000","135","180nF 10V 10% X5R","GRM155R61A184KE19D","180nF"
"X201","TopLayer","154.4000","81.7000","225","24MHz 4pF 20PPM","403WF24012IM","24MHz"
"R208","TopLayer","160.0000","73.0000","180","150O 1% 100mW","MCWR06X1500FTL","150O"
"R207","TopLayer","160.0000","75.0000","180","150O 1% 100mW","MCWR06X1500FTL","150O"
"R206","TopLayer","160.0000","77.0000","180","150O 1% 100mW","MCWR06X1500FTL","150O"
"R205","TopLayer","160.0000","79.0000","180","150O 1% 100mW","MCWR06X1500FTL","150O"
"R204","TopLayer","160.0000","74.0000","0","10KO 1% 62.5mW","WR04X1002FTL","10KO"
"R203","TopLayer","160.0000","76.0000","0","10KO 1% 62.5mW","WR04X1002FTL","10KO"
"R202","TopLayer","160.0000","78.0000","0","10KO 1% 62.5mW","WR04X1002FTL","10KO"
"R201","TopLayer","160.0000","80.0000","0","10KO 1% 62.5mW","WR04X1002FTL","10KO"
"R110","TopLayer","68.4000","80.8000","180","150O 1% 100mW","MCWR06X1500FTL","150O"
"R109","TopLayer","166.6000","95.9000","0","150O 1% 100mW","MCWR06X1500FTL","150O"
"R108","TopLayer","68.4000","78.8000","180","150O 1% 100mW","MCWR06X1500FTL","150O"
"R107","TopLayer","160.1000","85.9000","0","0O 100mW","WR06X0000FTL","0O"
"R106","TopLayer","152.8000","93.2000","180","10KO 5% 100mW","WR06X103 JTL","10KO"
"R105","TopLayer","159.6000","88.0000","90","2.2KO 5% 62.5mW","MCMR04X222 JTL","2.2KO"
"R104","TopLayer","160.4000","88.0000","90","2.2KO 5% 62.5mW","MCMR04X222 JTL","2.2KO"
"R103","TopLayer","86.7500","60.3750","90","150O 1% 100mW","MCWR06X1500FTL","150O"
"R102","TopLayer","68.4000","76.8000","0","150O 1% 100mW","MCWR06X1500FTL","150O"
"R101","TopLayer","75.0001","78.2000","0","12KO 1% 62.5mW","RC0402FR-1312KL","12KO"
"R11","TopLayer","134.6000","88.5000","90","2.2KO 1% 62.5mW 100PPM","CRGCQ0402F2K2","2.2KO"
"R8","TopLayer","135.2000","90.0000","180","20KO 1% 100mW 100PPM","ERJ-S02F2002X","20KO"
"R6","TopLayer","138.7000","90.5000","90","12KO 1% 62.5mW","RC0402FR-1312KL","12KO"
"R5","TopLayer","127.8000","89.7000","90","100O 1% 100mW","WR06X1000FTL","100O"
"R3","TopLayer","234.0000","93.0000","90","100KO 1% 62.5mW 100PPM","AC0402FR-13100KL","100KO"
"L2","TopLayer","131.6000","95.8000","0","3.3µH 5A 30% 21mO","SRN6045TA-3R3Y","3.3µH 5A"
"J104","TopLayer","204.9200","93.9000","270","Header 1x2P","G800W306018EU","Header"
"J103","TopLayer","202.3800","93.9000","270","Header 1x2P","G800W306018EU","Header"
"J102","TopLayer","199.8400","93.9000","270","Header 1x2P","G800W306018EU","Header"
"J101","TopLayer","197.3000","93.9000","90","Header 1x2P","G800W306018EU","Header"
"IC103","TopLayer","120.3000","65.3001","90","RT9742SNGV","RT9742SNGV","RT9742"
"IC102","TopLayer","162.9000","96.8000","270","Buffer IC","SN74LVC1G07DBVT","SN74LVC1G07D"
"IC101","TopLayer","75.0000","75.5000","0","RT9742 High side power switch","RT9742GGJ5","RT9742"
"IC2","TopLayer","131.4000","87.9000","0","3.8V TO 40V INPUT, 5A LOW IQ SYNCHRONOUS BUCK WITH PROGRAMMABLE SOFT-START TIME","AP64501SP-13","AP64501SP-13"
"IC1","TopLayer","234.2000","90.6000","90","USB-interface IC USB TYPE-C POWER DELIVERY","BD93E11GWL","BD93E11GWL"
"D204","TopLayer","198.0000","64.0000","0","Led Green","KP-2012CGCK","Led Green"
"D203","TopLayer","198.0000","66.0000","0","Led Green","KP-2012CGCK","Led Green"
"D202","TopLayer","198.0000","68.0000","0","Led Green","KP-2012CGCK","Led Green"
"D201","TopLayer","198.0000","70.0000","0","Led Green","KP-2012CGCK","Led Green"
"D106","TopLayer","64.6000","80.8000","180","Led Green","KP-2012CGCK","Led Green"
"D105","TopLayer","167.0000","97.9000","0","Led Green","KP-2012CGCK","Led Green"
"D104","TopLayer","64.6000","78.8000","180","Led Green","KP-2012CGCK","Led Green"
"D103","TopLayer","175.2000","61.3250","0","USB 2 TVS Diode","TPD2EUSB30DRTR","TVS"
"D102","TopLayer","86.7500","64.1750","90","Led Green","KP-2012CGCK","Led Green"
"D101","TopLayer","64.6000","76.8000","180","Led Green","KP-2012CGCK","Led Green"
