Altium Designer Pick and Place Locations
W:\GreenfieldTechSolutions\Projects\Ontwerpen\Project_234_BAS\RenderedFiles\BAS_MainHub_0.2\P234_BAS_MainHub_0.2_Pick Place\P234_0.2_MainHub_PickAndPlace_Imperial.csv

========================================================================================================================
File Design Information:

Date:       30/05/22
Time:       21:23
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Layer","Center-X(mil)","Center-Y(mil)","Rotation","Description","ManfactPart","RefVal"
"R28","TopLayer","12125.984","4685.039","270","2.2KO 1% 62.5mW 100PPM","CRGCQ0402F2K2","2.2KO"
"R27","TopLayer","12214.567","4586.614","0","20KO 1% 100mW 100PPM","ERJ-S02F2002X","20KO"
"R26","TopLayer","12145.669","4507.874","0","12KO 1% 62.5mW","RC0402FR-1312KL","12KO"
"R25","TopLayer","12401.575","4685.039","270","100O 1% 100mW","WR06X1000FTL","100O"
"L6","TopLayer","12421.260","4468.504","270","3.3µH 5A 30% 21mO","SRN6045TA-3R3Y","3.3µH 5A"
"IC14","TopLayer","12263.780","4763.779","180","3.8V TO 40V INPUT, 5A LOW IQ SYNCHRONOUS BUCK WITH PROGRAMMABLE SOFT-START TIME","AP64501SP-13","AP64501SP-13"
"C168","TopLayer","12145.669","4566.929","270","1.2nF 50V 10% X7R","GCM155R71H122KA37D","1.2nF"
"C167","TopLayer","12214.567","4547.244","180","1nF 50V 1% C0G","GRT1555C1H102FA02D","1nF"
"C166","TopLayer","12125.984","4842.520","270","100nF 50V 10% X7R","CGA2B3X7R1H104K050BB","100nF"
"C165","TopLayer","12230.315","4980.315","90","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C164","TopLayer","12309.055","4980.315","90","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C163","TopLayer","12387.795","4980.315","90","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C162","TopLayer","12466.535","4980.315","90","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C161","TopLayer","12545.276","4980.315","90","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C160","TopLayer","12624.016","4980.315","90","10µF 35V 10% X5R","C2012X5R1V106K125AC","10µF"
"C159","TopLayer","12145.669","4468.504","180","1nF 50V 1% C0G","GRT1555C1H102FA02D","1nF"
"C158","TopLayer","12027.559","4350.394","270","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C157","TopLayer","12106.299","4350.394","270","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C156","TopLayer","12185.039","4350.394","270","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C155","TopLayer","12263.780","4350.394","270","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C154","TopLayer","12401.575","4842.520","90","100nF 50V 10% X7R","CGA2B3X7R1H104K050BB","100nF"
"F4","TopLayer","8464.567","3602.362","0","32V/10A","C1H10","10A"
"F3","TopLayer","8464.567","3484.252","0","32V/10A","C1H10","10A"
"F2","BottomLayer","8464.567","3602.362","0","32V/10A","C1H10","10A"
"F1","BottomLayer","8464.567","3484.252","0","32V/10A","C1H10","10A"
"R24","BottomLayer","9905.512","3807.087","0","10KO 1% 62.5mW","WR04X1002FTL","10KO"
"R23","TopLayer","9950.787","4862.205","180","10KO 1% 62.5mW","WR04X1002FTL","10KO"
"R22","BottomLayer","11007.874","3807.087","0","10KO 1% 62.5mW","WR04X1002FTL","10KO"
"R21","TopLayer","11604.331","4862.205","180","10KO 1% 62.5mW","WR04X1002FTL","10KO"
"R20","BottomLayer","10456.693","3807.087","0","10KO 1% 62.5mW","WR04X1002FTL","10KO"
"R19","TopLayer","10501.969","4862.205","180","10KO 1% 62.5mW","WR04X1002FTL","10KO"
"R18","TopLayer","11053.150","4862.205","180","10KO 1% 62.5mW","WR04X1002FTL","10KO"
"R17","BottomLayer","11559.055","3807.087","0","10KO 1% 62.5mW","WR04X1002FTL","10KO"
"IC13","BottomLayer","9881.890","3937.008","180","USB Type-C and USB PD Controller with Integrated Power Switches Optimized for Power Applications","TPS25750D","TPS25750D"
"IC12","TopLayer","9881.890","4724.409","180","USB Type-C and USB PD Controller with Integrated Power Switches Optimized for Power Applications","TPS25750D","TPS25750D"
"IC11","BottomLayer","10984.252","3937.008","180","USB Type-C and USB PD Controller with Integrated Power Switches Optimized for Power Applications","TPS25750D","TPS25750D"
"IC10","TopLayer","11535.433","4724.409","180","USB Type-C and USB PD Controller with Integrated Power Switches Optimized for Power Applications","TPS25750D","TPS25750D"
"IC9","BottomLayer","10433.071","3937.008","180","USB Type-C and USB PD Controller with Integrated Power Switches Optimized for Power Applications","TPS25750D","TPS25750D"
"IC8","TopLayer","10433.071","4724.409","180","USB Type-C and USB PD Controller with Integrated Power Switches Optimized for Power Applications","TPS25750D","TPS25750D"
"IC7","TopLayer","10984.252","4724.409","180","USB Type-C and USB PD Controller with Integrated Power Switches Optimized for Power Applications","TPS25750D","TPS25750D"
"IC6","BottomLayer","11535.433","3937.008","180","USB Type-C and USB PD Controller with Integrated Power Switches Optimized for Power Applications","TPS25750D","TPS25750D"
"C153","TopLayer","9625.983","3641.732","270","22µF 63V 20% X7R","KRM55WR71J226MH01K","22µF"
"C152","TopLayer","9448.819","3641.732","270","10µF 63V 10% X7R","CL32B106KMVNNWE","10µF"
"C151","TopLayer","9655.512","4940.945","90","22µF 63V 20% X7R","KRM55WR71J226MH01K","22µF"
"C150","TopLayer","9478.346","5000.000","90","10µF 63V 10% X7R","CL32B106KMVNNWE","10µF"
"C149","TopLayer","10728.346","3641.732","270","22µF 63V 20% X7R","KRM55WR71J226MH01K","22µF"
"C148","TopLayer","10551.181","3641.732","270","10µF 63V 10% X7R","CL32B106KMVNNWE","10µF"
"C147","TopLayer","11309.055","4940.945","90","22µF 63V 20% X7R","KRM55WR71J226MH01K","22µF"
"C146","TopLayer","11131.890","5000.000","90","10µF 63V 10% X7R","CL32B106KMVNNWE","10µF"
"C145","BottomLayer","9645.669","3962.598","180","10nF 50V 10% X7R","C0805C103K5RAC","10nF"
"C144","BottomLayer","9645.669","4021.653","180","10nF 50V 10% X7R","C0805C103K5RAC","10nF"
"C143","BottomLayer","9645.669","4080.709","180","10nF 50V 10% X7R","C0805C103K5RAC","10nF"
"C142","BottomLayer","9645.669","4139.764","180","10nF 50V 10% X7R","C0805C103K5RAC","10nF"
"C141","BottomLayer","9645.669","4238.189","180","4.7µF 100V 10% X5R","HMK325BJ475KM-PE","4.7µF"
"C140","BottomLayer","9913.386","4114.173","90","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C139","BottomLayer","10098.425","3897.638","0","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C138","BottomLayer","10098.425","4015.748","90","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C137","BottomLayer","9976.378","4114.173","90","10µF 16V 10% X5R","GRM21BR61C106KE15L","10µF"
"C136","TopLayer","9685.039","4685.039","180","10nF 50V 10% X7R","C0805C103K5RAC","10nF"
"C135","TopLayer","9685.039","4606.299","180","10nF 50V 10% X7R","C0805C103K5RAC","10nF"
"C134","TopLayer","9685.039","4527.559","180","10nF 50V 10% X7R","C0805C103K5RAC","10nF"
"C133","TopLayer","9685.039","4448.819","180","10nF 50V 10% X7R","C0805C103K5RAC","10nF"
